Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
2741 - V4 NUC,2741 - V4 Nuc Posto  Ale Leandrini Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ale,1
2742 - V4 NUC,2742 - V4 Nuc Posto  Bandeira Branca Auto Posto Folena De Piedade Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2743 - V4 NUC,2743 - V4 Nuc Posto  Bandeira Branca Prototipo Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2744 - V4 NUC,2744 - V4 Nuc Posto  Ipiranga Netenergy Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2746 - V4 NUC,2746 - V4 Nuc Posto  Bandeira Branca Auto Posto Folena Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2747 - V4 NUC,2747 - V4 Nuc Posto  Shell Comercio Varejista De Combustiveis Folen,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2748 - V4 NUC,2748 - V4 Nuc Posto  Bandeira Branca Comercio Varejista De Combustiveis Folen,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2750 - V4 NUC,2750 - V4 Nuc Posto  Shell Avatar Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
2751 - V4 NUC,2751 - V4 Nuc Posto  Shell Mister Plus Automotivos E Conveniencias,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
2752 - V4 NUC,2752 - V4 Nuc Posto  Shell Posto De Servicos Paz Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
2753 - V4 NUC,2753 - V4 Nuc Posto  Shell Posto De Servicos Riolis Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2754 - V4 NUC,2754 - V4 Nuc Posto  Bandeira Branca Auto Posto Alencar Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2758 - V4 NUC,2758 - V4 Nuc Posto  Br Posto Catarinense,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2759 - V4 NUC,2759 - V4 Nuc Posto  Ipiranga Auto Posto Igararece Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2760 - V4 NUC,2760 - V4 Nuc Posto  Ipiranga Auto Posto Kasai Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2761 - V4 NUC,2761 - V4 Nuc Posto  Br Comercial Guacu De Produtos De Petroleo,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2762 - V4 NUC,2762 - V4 Nuc Posto  Shell Hiperpetro Iii Comercio Varejista De Der,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2765,2765 Auto Posto Jatoba De Sumare Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2766,2766 Oasis Combustiveis Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
